,title,disciption,Imdb_rating,genres,Released_date,image_url,video,webpage_url
0,Congratulations,"Aditya marries his college girlfriend Ragini who wants to have a kid but Aditya is not mentally ready to be a parent. After a miscarriage and delivering a stillborn, Ragini cannot conceive a baby. How far will Aditya go to revive his love life with Ragini? Will he become the first pregnant man alive?",IMDb 6.2,Drama,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/78a1d9e60ce876ffb6ec6e4ae97aff74584b6496e2649fb91f919fe3486f021f._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0NXOUVTK3P0JEJY1MCOZS28WOU/ref=atv_br_def_r_br_c_unkc_1_1
1,Nayika Devi: The Warrior Queen,"Nayika Devi, the Warrior Queen is a Historical drama set in the 12th century. The film is about India's first female warrior.",IMDb 7.5,Historical·Drama,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/d8889d64aba2abb6b941d1e0f4c5f93cb5cc17ebb41e52a6fc24378fc199dc23._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0TL9YBVDCYUQ4RP54KB3JN9YHB/ref=atv_br_def_r_br_c_unkc_1_2
2,Karma,"Karma, never loses an address. A family in which husband-wife and daughter were living a happy life and suddenly how the deeds are done in the past by someone brings changes in their lives.",IMDb 8.5,Suspense·Drama,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/4e7e2bf257299d10a25d89cf3b7a3b134673728c53681e54d86e45a8ccc135b4._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0LS36CPCC6F3XGYLLZ4RJUA8K7/ref=atv_br_def_r_br_c_unkc_1_3
3,Lakiro,"Richa and Hrishi are millennials, who fall in love and get married. Like most working couples today, their careers slowly start to create a divide between them. Things turn so ugly that they eventually decide to file for divorce. Do they get back together? Are their destinies tied together? Watch the drama unfold.",IMDb 5.9,"Drama·Arts, Entertainment, and Culture",2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/404afc7c0f001e64a5359c7f07e51ee61f1ab4cb83da3d73eb3f0757e26fed3a._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0H92BYK7RTNEASI88QB7UULU32/ref=atv_br_def_r_br_c_unkc_1_4
4,Hello Zindagi,A young social media addict goes on a trip without her smartphone. Will this journey change her life? Will she fall in love?,IMDb 7.2,Drama,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/e23c369261fef400ec004e2edc1f5a4dfd763396d875aaa4f6dd2c5e5865387c._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0R4O1H59XMVYKR1U4AGU54QTHF/ref=atv_br_def_r_br_c_unkc_1_5
5,Golkeri,"Sahil and Harshita, overnight end their perfect relationship of two years. But, as much as they want to move on and move away from each other, they are stuck in awkward situations put up by their parents who make persistent attempts to bring them back together.",IMDb 6.9,Comedy·Drama·Feel-good·Fun,2020,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/28b84d3271888906d578281ccd59361b0cec8f2ac57c76a752eed733d4ccc0a1._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0M6N4BJ37T3DKR3BH4QQ2BQD5L/ref=atv_br_def_r_br_c_unkc_1_6
6,Veer Isha nu Seemant,"A Couple decides to have no kids after their marriage and stick to it till death does them apart, but their families and society have expectations from them, making it difficult for their marriage. Will they able to stick to their plan?",IMDb 6.4,International·Drama·Comedy,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/e9cd8c2f48a01fb244fae84232a5277c4510a804caa59adac439df340b248573._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0P0O26KGGI630TZ4T2VGPV7R8P/ref=atv_br_def_r_br_c_unkc_1_7
7,Gujjubhai Most Wanted,"""Gujarati"" Gujjubhai and his son Khagesh try a shortcut to earn money which gets them into trouble with terrorists and cops.",IMDb 7.2,Comedy·Action,2018,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/e9636498c074652bc90615532de9407ca77a922e1153be0011bc51f9b127a242._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0PQHC24LNP79IN794IJWB9HB1D/ref=atv_br_def_r_br_c_unkc_1_8
8,Chal Man Jeetva Jaiye,"""Gujarati"" Chal Man Jeetva Jaiye recounts the riveting saga of a business family which finds itself at the crossroads, where one wrong decision could end up costing them everything.",IMDb 8.6,Drama,2017,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/e18241f6cef1ad486eabfc12754b11e658deacc312348624105f98fdedfa3d93._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0IIGQOKZRL1VH38D39TGQ36NWM/ref=atv_br_def_r_br_c_unkc_1_9
9,Dear Father,"After a man falls from his balcony, a police investigation focuses on the man's son and daughter-in-law.",IMDb 7.7,Comedy·Drama,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/ad823117d051f1b54ef4618831c0e9afd23559f56d150fddfd753a7b2cc999fe._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0MQQG1KHO3EQRSEJXJMUFZ3LA0/ref=atv_br_def_r_br_c_unkc_1_10
