,title,disciption,Imdb_rating,genres,Released_date,image_url,video,webpage_url
0,Pathaan,"Indian RAW agent “Pathaan” (Shah Rukh Khan) gets to know of a major impending attack against India, mounted by a mercenary group led by the ruthless enigma Jim (John Abraham), who has a history of his own. With the doomsday clock ticking away and an agent Rubai (Deepika Padukone) his only possible ally, Pathaan must fight countless betrayals and deal with destruction as he takes on Jim.",IMDb 6.0,Suspense·Action·Drama·Adventure,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/65ed493d49c3c69394c3348aa0c9c814ab7c2e88ba822efd9ac2afe4db17a926._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0FIVK55HUFIIADBSNC585CZFDP/ref=atv_br_def_r_br_c_unkc_1_1
1,Christopher,‘Christopher’ is the story of a vigilante cop who is forced to transgress the limits of law when the system fails. The movie travels with the protagonist in a narrative structure that is highly layered. He has a traumatic past which adds fuel to his fury throughout the story. Every act by him is a critique on the law enforcement system and sends out a message to correct the society.,IMDb 6.2,Drama·Suspense·International·Action,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/9362733f672c55ac163ef13fe7553db743e4e7748be02b618f94cc47d4de2b1c._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0GSDEM0SMSZZYB0O7F67REPQSR/ref=atv_br_def_r_br_c_unkc_1_2
2,Drishyam 2 (Hindi),"Seven years after the case related to Vijay and his family was closed, a series of unexpected events brings a truth to light that threatens to change everything for the Salgaonkars.",IMDb 8.2,Suspense·Drama·International,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/3ab0aae5c848684a714dd29c3eaa941232b36f0633f63c9a9798ed2ce79f2454._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0HNZIYOI76383DKI61QMTROL4K/ref=atv_br_def_r_br_c_unkc_1_3
3,Vaarasudu,"Vijay, the prodigal son of business tycoon Rajendran agrees to take over the reins of the business, much to the chagrin of his brothers. But can Vijay prove himself to be a worthy varisu and also reunite his now-broken family? This movie is also available as Varisu (Tamil), Vamshajan (Malayalam) and Vaarasdara (Kannada)",IMDb 6.1,Suspense·Drama·International·Action,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/e895c66f5afd63e75c57ea3091dba18df56f0b0fcbc87b175ecf6a17f6d339a0._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0TQV0X9RJF64O24RIRD1BHH37H/ref=atv_br_def_r_br_c_unkc_1_4
4,Pushpa: The Rise (Hindi),"Pushpa Raj (Allu Arjun) a coolie, volunteers to smuggle red sanders, a rare wood that only grows in Andhra, with the help of novel ideas to smuggle the red sanders. Pushpa quickly becomes leader of red sanders smuggling network. While Pushpa is at his prime, a ruthless police officer Bhanwar Singh Shekhawat (Fahadh Faasil) takes charge as SP and ridicules Pushpa for his lineage.",IMDb 7.6,International·Adventure·Action·Suspense,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/79ce0e77d557c1cf37684e65fa3ece21bdc68a3d9c24dfabf68d1ee913a7af4e._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0QH32UG7NRSFRGZT78NFD6KED7/ref=atv_br_def_r_br_c_unkc_1_5
5,Kantara - A Legend,"Kantara is a story set in the fictional village of Dakshina Kannada which explores the ideological conflict of human and nature. A battle of ego swirls along tradition and culture of the land. Will Shiva, the protagonist of the film be able to reinstate peace and harmony in the village perceiving his existence?",IMDb 8.3,Suspense·Adventure·International·Action,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/81b099a5c63de68c4ff26ad9c33ace44dd729b4c131ca707b9d62dba6a2dc328._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0L2CP3W1JZB3EE2KRZYSOXF221/ref=atv_br_def_r_br_c_unkc_1_6
6,Fall,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. However, after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now, their expert climbing skills are put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights.",IMDb 6.4,Suspense·Adventure·Drama,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/751b59ec1eb18790277a774d2e820f129fc3d87713f5f40b7e075731adc1da49._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0J80QLS1VW84KTO0XWOR4WVHVS/ref=atv_br_def_r_br_c_unkc_1_7
7,Yashoda,"An innocent woman, Yashoda, agrees to be a surrogate mother due to her circumstances. She then finds herself trapped in a world of uncertainties. Amidst a myriad of politicians, doctors, and powerful people, how does she battle her way out?",IMDb 6.6,Science Fiction·Suspense·International·Action,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/85b102fb296c9a9e4d482a7f86ce7fa9f725e6933cd2a5f2bfbc1a5c67f54330._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0FGA4QLEQXREJ3OE4AW6WREN41/ref=atv_br_def_r_br_c_unkc_1_8
8,Ela Veezha Poonchira,"The story is set in Elaveezhapoonchira a scenic hilltop in Kerala's Kottayam province located 3200 feet above sea level. Sudhi and Madhu are police officers at a small wireless police station on the hilltop. Amidst the heavy monsoon, they receive word that a womans body parts have been scattered all over Elaveezhapoonchira. Will they solve the mystery",IMDb 7.2,Suspense·Drama,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/dbd83bc1d5bd8dbefc89dcccd4fcdb994f9643dd6a11b874f1f68918795ca162._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0FCWWK4GYJYW3VNPGBAQOE5IVR/ref=atv_br_def_r_br_c_unkc_1_9
9,Gold (Hindi),"Joshi, a mobile shop owner, gets surprised when he discovers a truck filled with gold bars parked in front of his shop. Lured by greed, Joshi then conceives a plan to use this treasure for his advantage.",IMDb 4.6,Suspense·Comedy·Drama·International,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/dc4cae013d5c23de2a371ef3cc0cd3b344b7f9083c619fc9c92cc4f3e9684d2c._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0KMROWFOPA42E6ZLPSLZHL2WJS/ref=atv_br_def_r_br_c_unkc_1_10
