,title,disciption,Imdb_rating,genres,Released_date,image_url,video,webpage_url
0,Varisu (Hindi),"Vijay Rajendran is a happy to go lucky man. Things change when his father becomes terminally ill, and he is left to manage his business empire.",IMDb 6.1,Drama·Action·International,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/47860f700a373ef37961cb989a5137204699739bab5b0cd284f4cc40bd7a9ed0._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0GUKC2JE1MEJPV5S5LU2BQ2WVB/ref=atv_br_def_r_br_c_unkc_1_1
1,Pathaan,"Indian RAW agent “Pathaan” (Shah Rukh Khan) gets to know of a major impending attack against India, mounted by a mercenary group led by the ruthless enigma Jim (John Abraham), who has a history of his own. With the doomsday clock ticking away and an agent Rubai (Deepika Padukone) his only possible ally, Pathaan must fight countless betrayals and deal with destruction as he takes on Jim.",IMDb 6.0,Suspense·Action·Drama·Adventure,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/65ed493d49c3c69394c3348aa0c9c814ab7c2e88ba822efd9ac2afe4db17a926._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0FIVK55HUFIIADBSNC585CZFDP/ref=atv_br_def_r_br_c_unkc_1_2
2,Christopher,‘Christopher’ is the story of a vigilante cop who is forced to transgress the limits of law when the system fails. The movie travels with the protagonist in a narrative structure that is highly layered. He has a traumatic past which adds fuel to his fury throughout the story. Every act by him is a critique on the law enforcement system and sends out a message to correct the society.,IMDb 6.2,Drama·Suspense·International·Action,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/9362733f672c55ac163ef13fe7553db743e4e7748be02b618f94cc47d4de2b1c._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0GSDEM0SMSZZYB0O7F67REPQSR/ref=atv_br_def_r_br_c_unkc_1_3
3,Dada,"Manikandan and Sindhu are in love and accidentally becomes teenage parents. They face obstacles and situations to bring up their son, Adithya.",IMDb 8.2,International·Drama·Romance,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/e3df8767b35ac8b8811aa766b868a90e32a713cbc219cf36bf044cc51932a3f6._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0R217Y1Q451WCBPMHE8BA2SKPJ/ref=atv_br_def_r_br_c_unkc_1_4
4,Balagam,"In a village in Telangana, a family head Komarayya (Sudhakar Reddy), full of life and vigour, passes away unexpectedly. Sailu (Priyadarshi), his grandson (the son of his eldest son), is in debt and believes that getting married and receiving dowry money will help him pay it off. Sailu's engagement has been put on hold due to the passing of Komarayya.",IMDb 8.3,Drama,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/67dc836cc8c6df77a100dbaeb855c66d0c1040e2af47aa40d6f42bc1e6780277._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0I8KA9418PT2BIFDOS9NWO51NP/ref=atv_br_def_r_br_c_unkc_1_5
5,Varisu,"Vijay, the prodigal son of business tycoon Rajendran agrees to take over the reins of the business, much to the chagrin of his brothers. But can Vijay prove himself to be a worthy varisu and also reunite his now-broken family? This movie is also available as Vaarasudu (Telugu), Vamshajan (Malayalam) and Vaarasdara (Kannada)",IMDb 6.1,Drama·International·Action,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/bab7fe6e3b15b20a1f79899b50d402600c082e54368eb1a8eac9f4f31695ade0._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0R1YWU12P55RPK4O7W7JFJXTEM/ref=atv_br_def_r_br_c_unkc_1_6
6,Ranga Maarthaanda,"Raghava Rao (Prakash Raj), a celebrated theatre artiste who has ruled the stage for decades, decides to retire on a high to spend time with his family. While his intentions are pure, he struggles to come to grips with the new reality changing landscape, selfcentred family members and his glory days from the stage now behind him. Will he be able to play different characters that life throws at him?",IMDb 8.2,Drama,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/c4a682a672be319aa7d5979519c400f9afa321b568a46e1a259e8d75cb7d7e95._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0OQDTFFE56EXX1Z1BU7158HJ0K/ref=atv_br_def_r_br_c_unkc_1_7
7,Drishyam 2 (Hindi),"Seven years after the case related to Vijay and his family was closed, a series of unexpected events brings a truth to light that threatens to change everything for the Salgaonkars.",IMDb 8.2,Suspense·Drama·International,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/3ab0aae5c848684a714dd29c3eaa941232b36f0633f63c9a9798ed2ce79f2454._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0HNZIYOI76383DKI61QMTROL4K/ref=atv_br_def_r_br_c_unkc_1_8
8,Vaarasudu,"Vijay, the prodigal son of business tycoon Rajendran agrees to take over the reins of the business, much to the chagrin of his brothers. But can Vijay prove himself to be a worthy varisu and also reunite his now-broken family? This movie is also available as Varisu (Tamil), Vamshajan (Malayalam) and Vaarasdara (Kannada)",IMDb 6.1,Suspense·Drama·International·Action,2023,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/e895c66f5afd63e75c57ea3091dba18df56f0b0fcbc87b175ecf6a17f6d339a0._RI_V_TTW_SX720_FMjpg_.png,,https://www.primevideo.com/detail/0TQV0X9RJF64O24RIRD1BHH37H/ref=atv_br_def_r_br_c_unkc_1_9
9,Pushpa: The Rise (Hindi),"Pushpa Raj (Allu Arjun) a coolie, volunteers to smuggle red sanders, a rare wood that only grows in Andhra, with the help of novel ideas to smuggle the red sanders. Pushpa quickly becomes leader of red sanders smuggling network. While Pushpa is at his prime, a ruthless police officer Bhanwar Singh Shekhawat (Fahadh Faasil) takes charge as SP and ridicules Pushpa for his lineage.",IMDb 7.6,International·Adventure·Action·Suspense,2022,https://images-eu.ssl-images-amazon.com/images/S/pv-target-images/79ce0e77d557c1cf37684e65fa3ece21bdc68a3d9c24dfabf68d1ee913a7af4e._RI_V_TTW_SX720_FMjpg_.jpg,,https://www.primevideo.com/detail/0QH32UG7NRSFRGZT78NFD6KED7/ref=atv_br_def_r_br_c_unkc_1_10
